,nombre,localidad,score,reviews,categorias,latitud,longitud
0,Silvestre Cabanas,Los Colonos 1183  Puerto Varas  Chile ,4.5,3,Excellent,-41.3297961,-72.9610638
1,Puerto Chico Hotel,Avenida Los Colonos no. 60  Puerto Varas Chile ,4.0,263,Very good,-41.3287325,-72.9606131
2,Park Inn By Radisson Puerto Varas,La Paz 471  Puerto Varas Chile ,3.5,531,Very good,-41.3149096,-72.9856539
3,Hotel Puelche,Imperial 695  Puerto Varas  Chile ,4.5,347,Excellent,-41.3224579,-72.9768302
4,Radisson Hotel Puerto Varas,Del Salvador 024  Puerto Varas Chile ,4.5,861,Excellent,-41.3179833,-72.9817776
5,Hotel Awa,Ruta 225  Km. 27 Sector Los Riscos  Puerto Varas Chile,4.5,339,Excellent,-41.317802,-72.9829073
6,Casa Azul Hostel,Manzanal 66 Corner Rosario  Puerto Varas  Chile ,4.0,342,Very good,-36.9695655,-72.086518
7,Enjoy Puerto Varas,Klenner 349  Puerto Varas  Chile ,4.0,970,Very good,-41.31424655,-72.98370320522139
8,Hotel Cabana del Lago,Klener 195 Pasaje Luis Wellmann  Puerto Varas  Chile ,4.5,950,Excellent,-41.3135006,-72.9847564
9,Solace Hotel,Imperial 0211  Puerto Varas Chile ,4.5,821,Excellent,-41.3207091,-72.98390389552812
10,Hotel Bellavista Puerto Varas,Av. Vicente Perez Rosales 060  Puerto Varas Chile ,4.5,481,Excellent,-41.3190786,-72.9805244
11,Hotel Cumbres Puerto Varas,Av. Imperial 0561  Puerto Varas Chile ,4.5,743,Excellent,-41.3251885,-72.9719816
